"SURVEY ID",SECTION,QUESTION,ANSWER
77e8f55d-cab0-4e54-a6a7-14c6ceb446f4,,,
,"AI is poised to have significant impact across all sectors and life areas. Where does your government anticipate the greatest impact from AI?","How was your overall experience?","very Good"
,,". Which of the following characteristics should be included in a Universal AI Ethics code? (Choose all that apply.)","testone, testtwo"
,,"Do you like it?","very Good"
,,"Indicate the sectors most likely to experience a net positive impact from AI","very Good"
,"AI will impact not only how children learn but also what skills children will need to master for the fourth industrial revolution. Curriculum is shifting to self-guided models focused on establishing foundational literacy, core competencies and character development.","What topic would you be most interested in discussing next?","very Good"
,,"How effective is your government K-12 curriculum at developing foundational literacies (literacy, numeracy, scientific literacy, ICT literacy, financial literacy, cultural and civil literacy)","hy, hello"
,"AI is advancing at an astonishing speed. Is the government ready
    to usher in the benefits of AI for society ? Consider your own
    nation's context for the coming 3 years.","Is the government taking steps to improve employee preparedness",yes
,,"How prepared are government employees to adapt to working with AI within the next 3 years? ",1
,,,
,,,
108c87e1-802e-4dc4-82ba-839644c67710,,,
,"AI is poised to have significant impact across all sectors and life areas. Where does your government anticipate the greatest impact from AI?","Indicate the sectors most likely to experience a net positive impact from AI","very Good"
,,"Do you like it?","very Good"
,,"How was your overall experience?","very Good"
,,". Which of the following characteristics should be included in a Universal AI Ethics code? (Choose all that apply.)","testone, testtwo"
,"AI will impact not only how children learn but also what skills children will need to master for the fourth industrial revolution. Curriculum is shifting to self-guided models focused on establishing foundational literacy, core competencies and character development.","What topic would you be most interested in discussing next?","very Good"
,,"How effective is your government K-12 curriculum at developing foundational literacies (literacy, numeracy, scientific literacy, ICT literacy, financial literacy, cultural and civil literacy)","hy, hello"
,"AI is advancing at an astonishing speed. Is the government ready
    to usher in the benefits of AI for society ? Consider your own
    nation's context for the coming 3 years.","Is the government taking steps to improve employee preparedness",yes
,,"How prepared are government employees to adapt to working with AI within the next 3 years? ",1
,,,
,,,
8cdfa606-36af-4b92-9d51-7651a0a83dfe,,,
,"AI is poised to have significant impact across all sectors and life areas. Where does your government anticipate the greatest impact from AI?","Indicate the sectors most likely to experience a net positive impact from AI","very Good"
,,"How was your overall experience?","very Good"
,,"Do you like it?","very Good"
,,". Which of the following characteristics should be included in a Universal AI Ethics code? (Choose all that apply.)","testone, testtwo"
,"AI will impact not only how children learn but also what skills children will need to master for the fourth industrial revolution. Curriculum is shifting to self-guided models focused on establishing foundational literacy, core competencies and character development.","What topic would you be most interested in discussing next?","very Good"
,,"How effective is your government K-12 curriculum at developing foundational literacies (literacy, numeracy, scientific literacy, ICT literacy, financial literacy, cultural and civil literacy)","hy, hello"
,"AI is advancing at an astonishing speed. Is the government ready
    to usher in the benefits of AI for society ? Consider your own
    nation's context for the coming 3 years.","How prepared are government employees to adapt to working with AI within the next 3 years? ",1
,,"Is the government taking steps to improve employee preparedness",yes
,,,
,,,
